                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8111,                 2.5129,                 1.3543,                0.01627,                0.31407,                0.17763,                0.08694,                  1.971,                 3.3121,                 1.3483,             0.00054065,             0.00054065,             0.00054065
                      2,                 1.6952,                 1.7816,                 1.2767,                0.53167,                0.18256,                0.29519,                0.13273,                 1.9536,                 2.6209,                 1.3395,             0.00098778,             0.00098778,             0.00098778
                      3,                 1.6732,                 1.6609,                 1.2801,                0.52329,                0.41646,                0.43406,                0.16721,                 2.1592,                 1.9026,                  1.601,              0.0013249,              0.0013249,              0.0013249
                      4,                 1.6823,                 1.5803,                 1.2989,                0.56938,                0.60302,                0.56191,                0.25063,                 1.8341,                 1.5168,                 1.3366,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.6031,                 1.4975,                 1.2376,                 0.5944,                0.52286,                0.54294,                0.22998,                 1.8937,                 1.6191,                 1.3402,              0.0011719,              0.0011719,              0.0011719
                      6,                  1.614,                 1.4941,                  1.239,                0.61018,                0.47487,                0.50118,                0.24733,                 1.6949,                 1.7384,                   1.25,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.5952,                 1.3301,                 1.2229,                0.55572,                0.45477,                0.46438,                0.18726,                 2.0055,                 1.7524,                 1.3722,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.5271,                 1.2638,                 1.2008,                0.72375,                0.57928,                 0.6625,                  0.287,                 1.9065,                 1.3498,                 1.3261,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.4615,                 1.1925,                 1.1718,                0.69064,                0.65068,                0.66085,                0.29344,                 1.8629,                 1.2968,                 1.2678,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.4484,                 1.1369,                 1.1444,                0.74232,                0.65868,                0.72679,                0.36184,                 1.6925,                 1.1625,                  1.219,             0.00034674,             0.00034674,             0.00034674
